SiteName,Salt Lake City UT
ShortName,Salt Lake City
SiteLongitude,-111.9500
SiteLatitude,40.7000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,9.08e+15,0.005574,2.471e+17
2005-02-01,2005-02-28,8.376e+15,0.03498,2.605e+17
2005-03-01,2005-03-31,4.263e+15,0.005465,2.57e+17
2005-04-01,2005-04-30,5.369e+15,0.01185,2.315e+17
2005-05-01,2005-05-31,3.569e+15,0.008551,2.27e+17
2005-06-01,2005-06-30,3.805e+15,0.009115,2.301e+17
2005-07-01,2005-07-31,3.858e+15,0.02087,2.431e+17
2005-08-01,2005-08-31,4.644e+15,0.03579,2.499e+17
2005-09-01,2005-09-30,5.117e+15,0.005511,2.553e+17
2005-10-01,2005-10-31,7.142e+15,0.02435,2.685e+17
2005-11-01,2005-11-30,8.461e+15,0.006068,2.631e+17
2005-12-01,2005-12-31,3.944e+15,0.6336,2.618e+17
2006-01-01,2006-01-31,5.097e+15,0.008402,2.528e+17
2006-02-01,2006-02-28,6.592e+15,0.05888,2.503e+17
2006-03-01,2006-03-31,3.727e+15,0.004767,2.493e+17
2006-04-01,2006-04-30,3.904e+15,0.003733,2.403e+17
2006-05-01,2006-05-31,4.016e+15,0.003408,2.336e+17
2006-06-01,2006-06-30,3.966e+15,0.008344,2.349e+17
2006-07-01,2006-07-31,4.256e+15,0.005922,2.388e+17
2006-08-01,2006-08-31,4.283e+15,0.005988,2.521e+17
2006-09-01,2006-09-30,6.038e+15,0.0168,2.495e+17
2006-10-01,2006-10-31,7.089e+15,0.005927,2.699e+17
2006-11-01,2006-11-30,8.535e+15,0.00445,2.783e+17
2006-12-01,2006-12-31,6.403e+15,0.02027,2.644e+17
2007-01-01,2007-01-31,7.339e+15,0.01396,2.68e+17
2007-02-01,2007-02-28,5.453e+15,0.008928,2.639e+17
2007-03-01,2007-03-31,6.453e+15,0.005563,2.71e+17
2007-04-01,2007-04-30,4.159e+15,0.0064,2.469e+17
2007-05-01,2007-05-31,4.13e+15,0.01015,2.298e+17
2007-06-01,2007-06-30,5.405e+15,0.007004,2.295e+17
2007-07-01,2007-07-31,4.061e+15,0.008496,2.439e+17
2007-08-01,2007-08-31,4.41e+15,0.00595,2.541e+17
2007-09-01,2007-09-30,4.861e+15,0.008106,2.593e+17
2007-10-01,2007-10-31,5.741e+15,0.00459,2.708e+17
2007-11-01,2007-11-30,6.721e+15,0.004701,2.697e+17
2007-12-01,2007-12-31,2.543e+15,0.007225,2.705e+17
2008-01-01,2008-01-31,2.463e+15,0.007573,2.683e+17
2008-02-01,2008-02-29,6.411e+15,0.01105,2.528e+17
2008-03-01,2008-03-31,4.153e+15,0.05641,2.439e+17
2008-04-01,2008-04-30,4.133e+15,0.02871,2.351e+17
2008-05-01,2008-05-31,3.047e+15,0.01096,2.287e+17
2008-06-01,2008-06-30,3.416e+15,0.007245,2.328e+17
2008-07-01,2008-07-31,3.72e+15,0.00553,2.425e+17
2008-08-01,2008-08-31,3.751e+15,0.009972,2.516e+17
2008-09-01,2008-09-30,4.555e+15,0.04641,2.568e+17
2008-10-01,2008-10-31,5.775e+15,0.004655,2.542e+17
2008-11-01,2008-11-30,6.971e+15,0.006238,2.72e+17
2008-12-01,2008-12-31,4.373e+15,0.00372,2.718e+17
2009-01-01,2009-01-31,4.207e+15,0.006285,2.43e+17
2009-02-01,2009-02-28,5.545e+15,0.01673,2.268e+17
2009-03-01,2009-03-31,3.096e+15,0.005221,2.509e+17
2009-04-01,2009-04-30,2.915e+15,0.004256,2.449e+17
2009-05-01,2009-05-31,3.144e+15,0.004995,2.415e+17
2009-06-01,2009-06-30,3.541e+15,0.005196,2.425e+17
2009-07-01,2009-07-31,2.801e+15,0.004402,2.47e+17
2009-08-01,2009-08-31,3.792e+15,0.006497,2.544e+17
2009-09-01,2009-09-30,4.479e+15,0.006504,2.556e+17
2009-10-01,2009-10-31,5.819e+15,0.003276,2.644e+17
2009-11-01,2009-11-30,7.15e+15,0.003203,2.551e+17
2009-12-01,2009-12-31,2.587e+15,0.008881,2.498e+17
2010-01-01,2010-01-31,3.639e+15,0.004951,2.401e+17
2010-02-01,2010-02-28,5.73e+15,0.004937,2.516e+17
2010-03-01,2010-03-31,4.099e+15,0.005332,2.611e+17
2010-04-01,2010-04-30,3.208e+15,0.004489,2.575e+17
2010-05-01,2010-05-31,3.212e+15,0.003789,2.494e+17
2010-06-01,2010-06-30,3.259e+15,0.006376,2.517e+17
2010-07-01,2010-07-31,2.171e+15,0.004425,2.535e+17
2010-08-01,2010-08-31,3.014e+15,0.006326,2.601e+17
2010-09-01,2010-09-30,3.695e+15,0.004289,2.653e+17
2010-10-01,2010-10-31,5.765e+15,0.003876,2.574e+17
2010-11-01,2010-11-30,6.218e+15,0.003288,2.504e+17
2010-12-01,2010-12-31,3.165e+15,0.003732,2.565e+17
2011-01-01,2011-01-31,5.153e+15,0.006598,2.567e+17
2011-02-01,2011-02-28,2.956e+15,0.004891,2.584e+17
2011-03-01,2011-03-31,1.15e+15,0.003401,2.822e+17
2011-04-01,2011-04-30,1.42e+15,0.004742,2.476e+17
2011-05-01,2011-05-31,2.404e+15,0.003567,2.367e+17
2011-06-01,2011-06-30,2.526e+15,0.003832,2.43e+17
2011-07-01,2011-07-31,2.891e+15,0.005631,2.561e+17
2011-08-01,2011-08-31,3.211e+15,0.005769,2.647e+17
2011-09-01,2011-09-30,4.417e+15,0.003829,2.609e+17
2011-10-01,2011-10-31,4.425e+15,0.005747,2.584e+17
2011-11-01,2011-11-30,3.275e+15,0.003442,2.598e+17
2011-12-01,2011-12-31,5.749e+15,0.003517,2.6e+17
2012-01-01,2012-01-31,4.352e+15,0.006559,2.58e+17
2012-02-01,2012-02-29,3.566e+15,0.01313,2.431e+17
2012-03-01,2012-03-31,2.165e+15,0.003657,2.607e+17
2012-04-01,2012-04-30,3.317e+15,0.003572,2.362e+17
2012-05-01,2012-05-31,2.327e+15,0.003447,2.441e+17
2012-06-01,2012-06-30,2.494e+15,0.01545,2.489e+17
2012-07-01,2012-07-31,2.27e+15,0.004344,2.589e+17
2012-08-01,2012-08-31,3.473e+15,0.005249,2.719e+17
2012-09-01,2012-09-30,2.831e+15,0.005835,2.743e+17
2012-10-01,2012-10-31,5.311e+15,0.005566,2.755e+17
2012-11-01,2012-11-30,7.218e+15,0.004,2.415e+17
2012-12-01,2012-12-31,2.734e+15,0.005476,2.364e+17
2013-01-01,2013-01-31,4.37e+15,0.003641,2.367e+17
2013-02-01,2013-02-28,2.512e+15,0.008231,2.56e+17
2013-03-01,2013-03-31,3.102e+15,0.004524,2.711e+17
2013-04-01,2013-04-30,1.776e+15,0.005862,2.61e+17
2013-05-01,2013-05-31,2.375e+15,0.005687,2.504e+17
2013-06-01,2013-06-30,2.452e+15,0.006666,2.497e+17
2013-07-01,2013-07-31,2.988e+15,0.004894,2.605e+17
2013-08-01,2013-08-31,3.187e+15,0.004161,2.706e+17
2013-09-01,2013-09-30,3.097e+15,0.004585,2.756e+17
2013-10-01,2013-10-31,4.063e+15,0.007239,2.785e+17
2013-11-01,2013-11-30,3.698e+15,0.005049,2.694e+17
2013-12-01,2013-12-31,3.024e+15,0.005536,2.744e+17
2014-01-01,2014-01-31,4.009e+15,0.005014,2.46e+17
2014-02-01,2014-02-28,2.569e+15,0.004946,2.687e+17
2014-03-01,2014-03-31,3.187e+15,0.004515,2.688e+17
2014-04-01,2014-04-30,2.595e+15,0.005644,2.555e+17
2014-05-01,2014-05-31,2.311e+15,0.003569,2.526e+17
2014-06-01,2014-06-30,2.937e+15,0.004688,2.47e+17
2014-07-01,2014-07-31,2.117e+15,0.004125,2.651e+17
2014-08-01,2014-08-31,3.585e+15,0.003726,2.752e+17
2014-09-01,2014-09-30,3.443e+15,0.004451,2.689e+17
2014-10-01,2014-10-31,4.604e+15,0.005952,2.798e+17
2014-11-01,2014-11-30,4.612e+15,0.003683,2.531e+17
2014-12-01,2014-12-31,4.465e+15,0.01026,2.813e+17
2015-01-01,2015-01-31,2.226e+15,0.008312,2.511e+17
2015-02-01,2015-02-28,3.258e+15,0.008587,2.716e+17
2015-03-01,2015-03-31,3.568e+15,0.003863,2.851e+17
2015-04-01,2015-04-30,2.908e+15,0.006679,2.637e+17
2015-05-01,2015-05-31,2.375e+15,0.002844,2.578e+17
2015-06-01,2015-06-30,2.294e+15,0.004641,2.524e+17
2015-07-01,2015-07-31,2.224e+15,0.004523,2.661e+17
2015-08-01,2015-08-31,2.993e+15,0.006979,2.761e+17
2015-09-01,2015-09-30,3.789e+15,0.005315,2.684e+17
2015-10-01,2015-10-31,2.865e+15,0.004892,2.723e+17
2015-11-01,2015-11-30,5.496e+15,0.006257,2.79e+17
2015-12-01,2015-12-31,5.364e+15,0.0235,2.583e+17
