SiteName,Bruce Mansfield PA
SiteLongitude,-79.0500
SiteLatitude,40.4000
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,7.262e+15
2005-02-01,2005-02-28,6.455e+15
2005-03-01,2005-03-31,9.01e+15
2005-04-01,2005-04-30,7.722e+15
2005-05-01,2005-05-31,5.11e+15
2005-06-01,2005-06-30,5.79e+15
2005-07-01,2005-07-31,3.454e+15
2005-08-01,2005-08-31,5.476e+15
2005-09-01,2005-09-30,6.93e+15
2005-10-01,2005-10-31,7.548e+15
2005-11-01,2005-11-30,9.263e+15
2005-12-01,2005-12-31,1.437e+16
2006-01-01,2006-01-31,7.87e+15
2006-02-01,2006-02-28,1.173e+16
2006-03-01,2006-03-31,8.566e+15
2006-04-01,2006-04-30,9.811e+15
2006-05-01,2006-05-31,5.863e+15
2006-06-01,2006-06-30,5.316e+15
2006-07-01,2006-07-31,3.166e+15
2006-08-01,2006-08-31,5.065e+15
2006-09-01,2006-09-30,6.796e+15
2006-10-01,2006-10-31,8.397e+15
2006-11-01,2006-11-30,9.49e+15
2006-12-01,2006-12-31,1.149e+16
2007-01-01,2007-01-31,9.538e+15
2007-02-01,2007-02-28,1.127e+16
2007-03-01,2007-03-31,9.694e+15
2007-04-01,2007-04-30,8.373e+15
2007-05-01,2007-05-31,5.447e+15
2007-06-01,2007-06-30,5.296e+15
2007-07-01,2007-07-31,3.268e+15
2007-08-01,2007-08-31,5.427e+15
2007-09-01,2007-09-30,6.135e+15
2007-10-01,2007-10-31,9.144e+15
2007-11-01,2007-11-30,8.885e+15
2007-12-01,2007-12-31,6.354e+15
2008-01-01,2008-01-31,4.673e+15
2008-02-01,2008-02-29,5.627e+15
2008-03-01,2008-03-31,8.05e+15
2008-04-01,2008-04-30,7.206e+15
2008-05-01,2008-05-31,5.129e+15
2008-06-01,2008-06-30,5.092e+15
2008-07-01,2008-07-31,4.38e+15
2008-08-01,2008-08-31,4.383e+15
2008-09-01,2008-09-30,6.17e+15
2008-10-01,2008-10-31,7.593e+15
2008-11-01,2008-11-30,5.548e+15
2008-12-01,2008-12-31,7.609e+15
2009-01-01,2009-01-31,5.142e+15
2009-02-01,2009-02-28,9.031e+15
2009-03-01,2009-03-31,5.24e+15
2009-04-01,2009-04-30,4.601e+15
2009-05-01,2009-05-31,5.156e+15
2009-06-01,2009-06-30,4.29e+15
2009-07-01,2009-07-31,2.505e+15
2009-08-01,2009-08-31,4.546e+15
2009-09-01,2009-09-30,5.984e+15
2009-10-01,2009-10-31,5.367e+15
2009-11-01,2009-11-30,5.785e+15
2009-12-01,2009-12-31,4.646e+15
2010-01-01,2010-01-31,4.187e+15
2010-02-01,2010-02-28,1.51e+15
2010-03-01,2010-03-31,1.015e+16
2010-04-01,2010-04-30,4.522e+15
2010-05-01,2010-05-31,4.021e+15
2010-06-01,2010-06-30,6.868e+15
2010-07-01,2010-07-31,3.723e+15
2010-08-01,2010-08-31,5.515e+15
2010-09-01,2010-09-30,5.661e+15
2010-10-01,2010-10-31,6.392e+15
2010-11-01,2010-11-30,6.737e+15
2010-12-01,2010-12-31,1.049e+16
2011-01-01,2011-01-31,5.597e+15
2011-02-01,2011-02-28,8.605e+15
2011-03-01,2011-03-31,5.503e+15
2011-04-01,2011-04-30,6.782e+15
2011-05-01,2011-05-31,4.932e+15
2011-06-01,2011-06-30,4.944e+15
2011-07-01,2011-07-31,3.845e+15
2011-08-01,2011-08-31,5.091e+15
2011-09-01,2011-09-30,4.095e+15
2011-10-01,2011-10-31,6.463e+15
2011-11-01,2011-11-30,6.87e+15
2011-12-01,2011-12-31,6.834e+15
2012-01-01,2012-01-31,8.447e+15
2012-02-01,2012-02-29,6.866e+15
2012-03-01,2012-03-31,6.226e+15
2012-04-01,2012-04-30,5.514e+15
2012-05-01,2012-05-31,5.718e+15
2012-06-01,2012-06-30,5.227e+15
2012-07-01,2012-07-31,4.489e+15
2012-08-01,2012-08-31,5.464e+15
2012-09-01,2012-09-30,7.152e+15
2012-10-01,2012-10-31,5.634e+15
2012-11-01,2012-11-30,7.559e+15
2012-12-01,2012-12-31,9.443e+15
2013-01-01,2013-01-31,5.941e+15
2013-02-01,2013-02-28,4.898e+15
2013-03-01,2013-03-31,6.156e+15
2013-04-01,2013-04-30,5.672e+15
2013-05-01,2013-05-31,3.684e+15
2013-06-01,2013-06-30,6.033e+15
2013-07-01,2013-07-31,4.21e+15
2013-08-01,2013-08-31,5.101e+15
2013-09-01,2013-09-30,5.167e+15
2013-10-01,2013-10-31,8.019e+15
2013-11-01,2013-11-30,6.068e+15
2013-12-01,2013-12-31,5.865e+15
2014-01-01,2014-01-31,4.389e+15
2014-02-01,2014-02-28,7.683e+15
2014-03-01,2014-03-31,6.09e+15
2014-04-01,2014-04-30,5.623e+15
2014-05-01,2014-05-31,5.12e+15
2014-06-01,2014-06-30,6.137e+15
2014-07-01,2014-07-31,3.613e+15
2014-08-01,2014-08-31,4.593e+15
2014-09-01,2014-09-30,6.165e+15
2014-10-01,2014-10-31,6.695e+15
2014-11-01,2014-11-30,5.494e+15
2014-12-01,2014-12-31,6.084e+15
2015-01-01,2015-01-31,5.93e+15
2015-02-01,2015-02-28,5.047e+15
2015-03-01,2015-03-31,4.674e+15
2015-04-01,2015-04-30,4.959e+15
2015-05-01,2015-05-31,4.778e+15
2015-06-01,2015-06-30,4.056e+15
2015-07-01,2015-07-31,4.589e+15
2015-08-01,2015-08-31,4.76e+15
2015-09-01,2015-09-30,6.312e+15
2015-10-01,2015-10-31,7.188e+15
2015-11-01,2015-11-30,5.566e+15
2015-12-01,2015-12-31,6.28e+15
